"date","pres","airTemp","windDir","windSpd","head","T1m","T2m","T3m","T4m","T5m","T6m","T7m","T8m","T9m","T10m","T11m","T12m","T13m","T14m","T15m","T16m","T17m","T18m","T19m","T20m","T21m","T22m","T23m","T24m","T25m","T26m","T27m","T28m","T29m","T31m","T33m","T35m","T37m","T39m","T41m","T43m","T45m","T47m","T49m"
2020-06-12 10:00:00,29.8,23.9,NA,NA,NA,29.57,28.24,41.87,26.33,34.67,32.51,30.18,28.95,26.78,32.71,31.38,26.4,26.62,32.07,34.87,26.79,27.01,33.4,27.48,27.22,26.66,25.52,25.43,27.15,26.29,26.11,32.97,25.56,26,26.76,25.99,24.87,25.83,24.63,28.19,24.86,26.13,24.59,26.1
2020-06-12 10:15:00,29.8,24.2,NA,NA,NA,32.37,28.69,43.15,27,34.56,33.78,30.89,29.91,28.07,34.2,32.96,27.14,27.52,32.74,36.44,29.34,27.96,34.47,28.16,28.03,27.55,26.45,26.18,27.84,27.23,27.12,30.23,26.25,26.44,27.68,26.49,25.66,26.2,25.44,28.75,25.56,27.28,25.38,26.9
2020-06-12 10:30:00,30,23.3,215,1.3,NA,26.56,25.89,33.19,27.04,31.16,28.68,29.03,28.23,27.71,30.73,29.65,26.61,27.06,30.41,31.91,29.23,27.72,31.09,27.54,27.32,27.22,26.7,25.29,27.45,27.08,26.99,28.55,26.36,26.36,27.19,25.91,25.76,25.8,25.63,27.45,25.46,27.28,25.68,26.87
2020-06-12 10:45:00,30,23.8,159,0.6,NA,28.74,26.8,39.62,26.76,31.21,32.54,29.02,28.37,27.82,31.49,30.57,29.68,26.94,29.87,33.16,29.75,27.39,32.64,27.49,26.99,27.06,26.56,25.68,27.18,27.04,27.74,28.48,26.24,26.11,27.22,25.92,25.81,25.8,25.66,27.34,25.25,26.87,25.69,26.66
2020-06-12 11:00:00,30,23.3,81,1.3,NA,28.38,25.3,35.29,27,30.35,30.67,29.31,28.57,28.14,30.72,29.79,29.28,27.04,29.96,32.12,30.38,27.57,31.93,27.6,27.19,27.14,26.7,25.35,27.3,27.06,28.41,28.81,26.47,26.42,27.22,25.93,26.02,25.94,26.06,27.21,25.45,27.16,25.88,26.76
2020-06-12 11:15:00,29.9,23.1,191,0.5,NA,27.71,25.31,33.16,27.23,30.02,30.21,29.25,28.54,28.3,29.94,29.22,30.13,27.17,29.77,31.64,30.54,27.67,31.91,27.19,27.02,27.18,26.92,25.61,27.55,27.13,28.9,29.41,27.08,26.85,27.29,26.05,26.28,25.99,26.41,27.25,25.57,27.26,26.19,26.83
2020-06-12 11:30:00,29.8,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-12 11:45:00,29.8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-12 12:00:00,29.8,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-12 12:15:00,29.8,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
