"date","T1m","T2m","T3m","T4m","T5m","T6m","T7m","T8m","T9m","T10m","T11m","T12m","T13m","T14m","solar","utc.time","pres","airTemp","windDir","windSpd"
2020-09-10 22:00:00,19.77,19.75,19.73,19.69,19.72,19.75,19.74,19.65,19.59,19.47,18.91,18.21,17.94,17.48,3,NA,30.3,15.5,191,5.29832
2020-09-10 22:15:00,19.76,19.75,19.74,19.7,19.72,19.76,19.76,19.68,19.6,19.61,19.36,18.62,18.09,17.58,3,21508,30.3,15.4,196,5.60696
2020-09-10 22:30:00,19.76,19.75,19.74,19.7,19.72,19.75,19.74,19.72,19.63,19.55,19.28,18.47,17.71,17.55,3,23008,30.3,15.3,196,6.06992
2020-09-10 22:45:00,19.75,19.74,19.72,19.68,19.7,19.74,19.74,19.7,19.66,19.67,19.45,19.05,17.73,17.66,2,24508,30.3,15.3,199,4.78392
2020-09-10 23:00:00,19.73,19.73,19.72,19.67,19.7,19.74,19.74,19.71,19.7,19.73,19.54,19.3,17.99,17.69,3,30008,30.3,15.3,205,5.6584
2020-09-10 23:15:00,19.75,19.74,19.72,19.68,19.7,19.74,19.74,19.71,19.7,19.71,19.62,19.48,18.21,17.7,3,31508,30.3,15.4,193,4.57816
2020-09-10 23:30:00,19.74,19.72,19.71,19.66,19.69,19.73,19.74,19.7,19.64,19.65,19.6,19.54,19.39,17.72,3,33008,30.3,15.3,190,6.58432
2020-09-10 23:45:00,19.73,19.72,19.71,19.67,19.69,19.73,19.74,19.7,19.68,19.7,19.64,19.56,19.2,17.67,3,34508,30.3,15,181,6.27568
2020-09-11 00:00:00,19.72,19.71,19.7,19.65,19.68,19.72,19.72,19.7,19.69,19.7,19.63,19.57,19.44,17.66,3,40008,30.3,14.7,201,6.53288
2020-09-11 00:15:00,19.7,19.69,19.68,19.63,19.66,19.7,19.71,19.67,19.66,19.69,19.64,19.58,19.53,17.83,3,41508,30.3,14.4,203,7.51024
2020-09-11 00:30:00,19.68,19.67,19.66,19.62,19.65,19.69,19.7,19.67,19.66,19.71,19.66,19.62,19.57,19.17,3,NA,30.3,14,212,8.38472
2020-09-11 00:45:00,19.69,19.68,19.67,19.63,19.65,19.69,19.69,19.67,19.65,19.7,19.67,19.65,19.6,19.56,3,44508,30.3,14.1,184,5.24688
2020-09-11 01:00:00,19.68,19.67,19.66,19.61,19.64,19.68,19.68,19.65,19.63,19.67,19.64,19.61,19.59,18.77,3,50008,30.3,13.7,185,6.01848
2020-09-11 01:15:00,19.68,19.66,19.65,19.6,19.63,19.67,19.68,19.65,19.63,19.67,19.62,19.59,19.5,19.48,3,51508,30.3,13.7,183,5.70984
2020-09-11 01:30:00,19.66,19.65,19.65,19.61,19.63,19.67,19.67,19.65,19.64,19.69,19.65,19.62,19.6,19.4,4,53008,30.3,13.6,185,5.29832
2020-09-11 01:45:00,19.65,19.64,19.64,19.61,19.63,19.67,19.67,19.65,19.63,19.68,19.65,19.63,19.61,19.6,3,54508,30.3,13.6,178,5.86416
2020-09-11 02:00:00,19.67,19.66,19.64,19.6,19.62,19.66,19.67,19.64,19.62,19.67,19.65,19.63,19.62,19.53,3,60008,30.3,13.4,181,6.48144
2020-09-11 02:15:00,19.65,19.63,19.62,19.58,19.6,19.66,19.66,19.63,19.62,19.66,19.63,19.61,19.59,19.49,3,NA,30.3,13.5,189,6.37856
2020-09-11 02:30:00,19.64,19.63,19.62,19.57,19.6,19.64,19.64,19.62,19.61,19.66,19.63,19.61,19.58,19.54,4,63008,30.3,13.3,182,6.6872
2020-09-11 02:45:00,19.64,19.63,19.61,19.58,19.6,19.65,19.65,19.62,19.62,19.66,19.62,19.6,19.57,19.49,3,NA,30.3,13.2,194,7.30448
2020-09-11 03:00:00,19.64,19.63,19.62,19.57,19.6,19.64,19.65,19.62,19.61,19.66,19.63,19.6,19.54,19.49,4,70008,30.3,13,183,6.06992
2020-09-11 03:15:00,19.64,19.62,19.61,19.56,19.59,19.63,19.64,19.61,19.6,19.65,19.62,19.6,19.58,19.39,4,71508,30.3,12.9,184,5.96704
2020-09-11 03:30:00,19.61,19.6,19.59,19.55,19.58,19.62,19.63,19.6,19.59,19.63,19.58,19.53,19.46,19.43,4,73008,30.3,12.9,184,7.9732
2020-09-11 03:45:00,19.6,19.58,19.57,19.54,19.56,19.6,19.6,19.58,19.57,19.62,19.57,19.53,19.47,19.4,3,74508,30.3,12.8,180,7.51024
2020-09-11 04:00:00,19.58,19.58,19.58,19.53,19.56,19.59,19.6,19.58,19.56,19.61,19.57,19.54,19.5,19.23,4,80008,30.3,12.7,180,7.09872
2020-09-11 04:15:00,19.59,19.58,19.57,19.52,19.55,19.59,19.59,19.56,19.55,19.6,19.55,19.52,19.48,19.45,4,NA,30.3,12.6,183,7.35592
2020-09-11 04:30:00,19.57,19.57,19.55,19.51,19.52,19.57,19.56,19.53,19.53,19.58,19.53,19.5,19.44,19.38,4,83008,30.3,12.5,183,7.40736
2020-09-11 04:45:00,19.54,19.54,19.53,19.49,19.51,19.55,19.56,19.53,19.52,19.54,19.5,19.48,19.45,19.4,4,84508,30.3,12.5,182,7.4588
2020-09-11 05:00:00,19.55,19.54,19.52,19.47,19.5,19.54,19.55,19.52,19.51,19.56,19.53,19.45,19.45,19.35,4,90008,30.3,12.4,182,6.6872
2020-09-11 05:15:00,19.53,19.52,19.51,19.46,19.49,19.53,19.53,19.5,19.49,19.51,19.47,19.45,19.42,19.37,4,91508,30.3,12.3,180,6.73864
2020-09-11 05:30:00,19.52,19.51,19.49,19.45,19.47,19.51,19.51,19.49,19.48,19.52,19.49,19.44,19.43,19.42,4,93008,30.3,12.1,180,6.48144
2020-09-11 05:45:00,19.51,19.49,19.48,19.43,19.46,19.5,19.5,19.47,19.46,19.49,19.42,19.4,19.35,19.33,4,94508,30.3,12.1,175,6.1728
2020-09-11 06:00:00,19.48,19.48,19.47,19.42,19.45,19.49,19.49,19.46,19.46,19.51,19.48,19.45,19.38,19.35,4,100008,30.3,12,181,5.4012
