"date","pres","airTemp","windDir","windSpd","head","T1m","T2m","T3m","T4m","T5m","T6m","T7m","T8m","T9m","T10m","T11m","T12m","T13m","T14m","T15m","T16m","T17m","T18m","T19m","T20m","T21m","T22m","T23m","T24m","T25m","T26m","T27m","T28m","T29m","T31m","T33m","T35m","T37m","T39m","T41m","T43m","T45m","T47m","T49m"
2020-08-07 19:00:00,30.1,24.3,167,2.5,NA,23.54,23.52,23.17,22.64,22.37,22.32,22.21,21.98,21.58,21.3,21.17,20.61,20.13,19.83,19.05,18.57,16.88,16,15.5,14.25,13.25,12.65,12.2,11.33,10.53,10.04,10,9.69,9.65,9.44,8.95,7.73,7.31,7.12,6.8,6.62,6.55,6.36,6.28
2020-08-07 19:15:00,30.1,23.9,174,2.3,NA,23.52,23.44,23.03,22.65,22.32,22.27,22.2,21.95,21.61,21.29,21.2,20.92,20.11,19.95,19.18,18.7,16.66,16.08,15.48,13.83,13.28,12.73,12.19,11.33,10.42,10.08,10.01,9.67,9.61,9.21,8.54,7.65,7.48,7.2,6.97,6.63,6.52,6.41,6.28
2020-08-07 19:30:00,30.1,23.7,205,2,NA,23.49,23.33,23.04,22.53,22.26,22.23,22.17,22.01,21.68,21.35,21.14,20.94,20.23,19.89,19.12,18.66,17.07,16.17,15.36,13.5,13.19,12.66,12.18,11.32,10.22,10.13,9.86,9.65,9.5,9.01,8.04,7.71,7.52,7.35,7.04,6.6,6.5,6.4,6.3
2020-08-07 19:45:00,30.1,23.2,204,2.1,NA,23.49,23.39,23.08,22.73,22.22,22.16,22.13,21.97,21.56,21.38,21.13,20.64,20.29,19.82,19.46,18.65,17.09,16.27,15.6,13.65,13.33,12.63,12.09,11.33,10.27,10.14,9.81,9.62,9.5,8.96,7.95,7.73,7.46,7.38,6.91,6.57,6.47,6.36,6.28
2020-08-07 20:00:00,30.1,23.1,207,2,NA,23.48,23.39,23.04,22.23,22.17,22.13,22.1,21.87,21.56,21.44,21.04,20.68,20.39,19.79,19.51,18.71,16.67,16.3,15.79,13.97,13.3,12.54,11.97,11.31,10.33,10.07,9.82,9.59,9.49,8.88,7.92,7.57,7.51,7.33,7.01,6.62,6.47,6.45,6.26
2020-08-07 20:15:00,30.1,22.9,222,2.3,NA,23.41,23.34,23.03,22.17,22.13,22.09,22.07,21.91,21.75,21.57,21.24,20.94,20.48,19.78,19.63,18.59,16.61,16.38,15.82,14.07,13.37,12.52,11.76,11.29,10.28,10.12,9.94,9.66,9.53,8.91,7.88,7.52,7.51,7.28,6.99,6.65,6.46,6.43,6.26
2020-08-07 20:30:00,30.1,22.7,222,1.8,NA,23.36,23.35,23.11,22.17,22.11,22.07,22.07,21.86,21.8,21.73,21.1,20.94,20.53,19.73,19.55,18.69,16.72,16.32,15.83,13.94,13.15,12.21,11.32,11.12,10.33,10.08,9.83,9.62,9.55,9,7.91,7.53,7.47,7.23,6.94,6.65,6.47,6.46,6.25
2020-08-07 20:45:00,30.1,22.5,235,1.1,NA,23.3,23.2,23.03,22.23,22.1,22.06,22.03,21.92,21.86,21.58,21.01,20.91,20.6,19.71,19.34,18.5,16.66,16.17,15.73,13.84,12.94,12.16,11.3,10.98,10.33,10.11,9.91,9.7,9.58,9.06,7.94,7.51,7.35,7.21,6.89,6.65,6.47,6.44,6.25
2020-08-07 21:00:00,30.2,22.2,243,1.3,NA,23.26,23.23,23.2,22.89,22.23,22.08,22.05,21.98,21.79,21.38,21.06,20.83,20.58,19.68,19.54,18.59,16.78,16.24,15.72,13.85,12.79,12.1,11.28,10.71,10.23,10.12,9.84,9.68,9.55,9.08,8.06,7.51,7.36,7.22,6.9,6.64,6.47,6.4,6.24
2020-08-07 21:15:00,30.2,21.8,268,1.5,NA,23.26,23.24,23.21,23.09,22.64,22.17,22.08,21.97,21.8,21.27,20.98,20.75,20.09,19.66,19.5,18.59,16.85,16.36,15.82,14.32,12.81,11.94,11.15,10.55,10.18,10.02,9.77,9.73,9.57,9.12,8.26,7.61,7.45,7.22,6.9,6.57,6.46,6.4,6.24
2020-08-07 21:30:00,30.2,21.4,285,1.3,NA,23.27,23.25,23.19,22.98,22.6,22.15,22.07,21.89,21.79,21.25,20.91,20.73,20.52,19.66,19.56,18.79,16.85,16.37,15.86,14.18,12.55,11.91,11.24,10.59,10.16,10.03,9.83,9.73,9.54,9.12,8.28,7.57,7.42,7.24,6.89,6.61,6.51,6.36,6.25
2020-08-07 21:45:00,30.2,21.1,251,1.3,NA,23.25,23.23,23.2,22.98,22.54,22.14,22.07,21.86,21.81,21.39,20.88,20.74,20.53,19.64,19.53,18.9,16.8,16.18,15.7,14.1,12.71,12.04,11.23,10.74,10.3,10.17,9.96,9.77,9.62,8.9,8.29,7.73,7.43,7.33,7.1,6.65,6.56,6.35,6.32
2020-08-07 22:00:00,30.2,21,241,1.9,NA,23.23,23.22,23.12,22.82,22.24,22.14,22.08,21.9,21.81,21.44,20.86,20.67,20.28,19.58,19.51,18.84,16.84,16.27,15.75,14,12.72,11.97,11.21,10.76,10.34,10.14,9.88,9.8,9.5,8.87,8.14,7.56,7.41,7.28,6.91,6.65,6.5,6.33,6.24
2020-08-07 22:15:00,30.2,20.9,261,2.5,NA,23.21,23.21,23.12,22.88,22.21,22.11,22.07,21.91,21.76,21.68,20.99,20.8,20.3,19.54,19.44,18.34,16.86,16.24,15.75,14.17,12.72,12.15,11.23,10.83,10.26,10.05,9.86,9.69,9.31,8.5,8.08,7.58,7.46,7.31,6.95,6.69,6.47,6.31,6.24
2020-08-07 22:30:00,30.2,20.4,274,2.6,NA,23.19,23.18,23.12,22.56,22.09,22.02,21.97,21.85,21.83,21.73,20.85,20.67,20.18,19.5,19.4,19.02,16.89,16.48,16.02,14.55,12.62,12.15,11.2,10.75,10.3,10.01,9.85,9.63,9.32,8.74,8.16,7.56,7.45,7.24,6.97,6.69,6.51,6.31,6.24
2020-08-07 22:45:00,30.2,20.2,264,2.9,NA,23.18,23.18,23.13,22.66,22.09,22.02,21.97,21.95,21.87,21.66,20.84,20.5,19.71,19.5,19.33,18.19,16.93,16.6,16.06,14.82,12.74,12.22,11.62,10.96,10.39,10.07,9.89,9.64,9.33,9.11,8.18,7.78,7.49,7.28,6.97,6.69,6.54,6.31,6.25
2020-08-07 23:00:00,30.2,19.9,279,3.3,NA,23.17,23.17,23.18,22.87,22.08,22.02,21.97,21.87,21.77,21.47,20.84,20.51,19.67,19.51,19.31,18.81,16.96,16.59,16.07,14.92,12.72,12.14,11.17,10.69,10.32,10.02,9.88,9.72,9.36,9.07,8.13,7.7,7.49,7.23,6.92,6.67,6.54,6.28,6.24
2020-08-07 23:15:00,30.1,19.6,284,2.9,NA,23.11,23.11,23.14,22.74,22.05,22,21.97,21.82,21.77,21.59,20.99,20.69,19.84,19.48,19.24,18.68,17.01,16.56,16.15,15.03,12.56,12.05,11.11,10.64,10.32,10.04,9.88,9.63,9.38,8.87,8.02,7.61,7.46,7.12,6.81,6.63,6.47,6.27,6.25
